Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,IPS,Touchscreen,Cpu_speed,HDD,SSD,ppi
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,128235,1,0,2.3,0,128,227
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,86047,0,0,1.8,0,0,128
HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,55039,0,0,2.5,0,256,141
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,242885,1,0,2.7,0,512,221
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,172641,1,0,3.1,0,256,227
Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,38288,0,0,3.0,500,0,100
Apple,Ultrabook,Intel Core i7,16,Intel Iris,Mac OS,2.04,204838,1,0,2.2,0,0,221
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,110911,0,0,1.8,0,0,128
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.3,143101,0,0,1.8,0,512,157
Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,73704,1,0,1.6,0,256,157
HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,37704,0,0,2.5,500,0,100
HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,33022,0,0,2.0,500,0,141
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,233554,1,0,2.8,0,256,221
Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,47755,0,0,2.0,0,256,141
Apple,Ultrabook,Intel Core M,8,Intel HD,Mac OS,0.92,120837,1,0,1.2,0,256,226
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,145356,1,0,2.3,0,256,227
Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,71311,0,0,2.7,0,256,141
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,273568,1,0,2.9,0,512,221
Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,47764,0,0,2.4,1000,0,141
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.22,93710,1,1,1.6,0,128,166
Asus,Netbook,Intel Atom,2,Intel HD,Windows 10,0.98,18369,0,0,1.44,0,0,135
Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,95624,1,0,2.5,1000,128,141
HP,Notebook,AMD E-Series,4,AMD Radeon,No OS,1.86,24696,0,0,1.5,500,0,100
Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.62,78395,0,1,1.6,0,256,166
HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.91,63079,0,0,1.8,0,256,141
Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,40072,0,0,2.0,1000,0,100
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,105196,0,0,1.6,0,0,128
Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,76576,0,0,1.6,0,256,141
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.88,124245,0,0,1.9,0,512,141
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,85765,0,0,1.6,1000,0,127
Asus,Notebook,AMD E-Series,2,AMD Radeon,Windows 10,1.65,19048,0,0,1.5,0,0,112
HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.71,42021,0,0,2.5,500,0,127
Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.2,178901,0,1,1.8,0,512,276
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,95529,0,0,1.6,0,0,128
Lenovo,Notebook,Intel Celeron,4,Intel HD,Windows 10,1.44,23834,0,0,1.1,0,0,112
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Others,2.1,35129,0,0,2.7,1000,0,100
Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,93710,1,0,1.6,1000,128,127
HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.86,46777,0,0,2.5,1000,0,100
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.1,84138,0,0,1.6,0,256,141
Asus,Notebook,Intel Core i3,4,Intel HD,Linux/Others,2.0,37235,0,0,2.0,1000,0,141
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,143484,1,0,2.8,1000,256,141
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Others,2.3,50061,0,0,2.5,1000,0,100
Acer,Notebook,Intel Core i5,4,Intel UHD,Windows 10,2.2,65281,1,0,1.6,0,256,141
Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Windows 10,2.77,95624,0,1,1.6,1000,0,127
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,135827,1,0,2.0,0,256,227
Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,35321,0,0,2.0,0,128,100
Asus,Gaming,AMD Ryzen Series,8,AMD Radeon,Windows 10,3.2,124340,0,0,3.0,1000,256,127
Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.3,61165,0,0,2.5,0,256,141
Asus,Notebook,Intel Pentium,4,Nvidia GeForce,Windows 10,2.8,44606,0,0,1.1,1000,0,91
Lenovo,2 in 1 Convertible,Intel Atom,4,Intel HD,Linux/Others,0.69,30535,1,1,1.44,0,0,224
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,80501,1,0,1.8,0,256,141
HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.86,38143,0,0,2.5,0,256,141
HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.49,105579,0,0,1.8,0,512,166
Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,36756,0,0,2.4,1000,0,100
Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.13,73494,0,0,1.8,0,256,141
HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.91,42021,0,0,2.0,0,128,141
Asus,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.0,56110,0,0,2.5,0,256,100
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.43,234418,0,0,2.8,2000,256,127
Asus,Notebook,Intel Core i3,4,Intel HD,Linux/Others,2.0,39724,0,0,2.0,0,256,141
Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,124340,0,0,1.8,2000,256,127
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.7,84138,0,0,1.6,0,256,157
Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,57336,1,0,2.7,0,256,157
Asus,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.4,90073,0,0,1.6,0,256,157
HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,66047,0,0,2.5,0,256,141
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,189813,0,0,2.8,0,512,141
HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,1.86,41991,0,0,2.0,500,0,100
HP,Notebook,Intel Celeron,4,Intel HD,Windows 10,1.44,21920,0,0,1.6,0,32,112
Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,52550,0,0,2.5,1000,0,141
Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Linux/Others,3.0,90838,0,0,2.8,1000,0,127
Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,91413,1,0,1.8,0,256,166
Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,83276,0,0,1.8,0,256,141
MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.7,104813,0,0,2.5,1000,128,127
Acer,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.1,37235,0,0,2.0,1000,0,112
Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,90838,0,0,2.8,1000,0,141
Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,49679,0,0,2.5,2000,0,141
Dell,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.02,81841,0,0,1.8,1000,128,141
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,50732,0,0,2.7,1000,0,141
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,93518,0,0,1.6,1000,128,127
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.88,104924,1,0,1.6,0,256,141
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,0.92,144537,1,0,1.3,0,512,226
HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.63,82319,0,0,1.6,0,256,157
Lenovo,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.2,38192,0,0,2.5,0,128,141
Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,37809,0,0,3.0,1000,0,100
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,129126,1,0,2.8,1000,128,141
HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.83,66908,1,0,1.8,0,256,141
HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.96,57335,0,0,2.5,0,256,141
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,138698,1,0,2.8,1000,128,141
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,157842,1,0,1.8,0,256,166
Asus,Gaming,AMD FX Series,8,AMD Radeon,Windows 10,2.45,66908,0,0,3.0,1000,0,141
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,65951,0,0,1.8,1000,0,141
HP,Notebook,Intel Core i7,16,Intel UHD,Windows 10,1.49,114577,0,0,1.8,0,512,166
Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,114385,0,0,2.5,0,256,141
Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.25,100410,0,0,2.7,0,256,157
Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.5,81075,1,1,1.6,0,256,166
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Others,2.2,57422,0,0,2.7,1000,0,141
Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux/Others,2.2,46424,0,0,2.0,0,256,141
Asus,Notebook,Intel Core i3,6,Nvidia GeForce,Windows 10,2.0,55230,0,0,2.4,0,256,141
HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,2.62,119554,1,0,2.8,1000,128,141
HP,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,1.91,68823,0,0,2.7,0,256,141
HP,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,2.1,33406,0,0,1.5,500,0,141
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Others,2.2,61931,0,0,1.6,1000,0,141
HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.38,107111,1,0,2.7,0,256,166
HP,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,1.58,63079,1,0,2.5,0,256,157
Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,39714,0,0,2.0,1000,0,141
Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.3,114194,1,0,2.7,0,256,157
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,124340,0,0,2.8,1000,256,141
Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.58,141666,1,0,2.7,0,256,157
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.5,120799,0,0,1.8,1000,256,141
Dell,Ultrabook,Intel Core i7,8,Intel Iris,Windows 10,1.23,131998,0,1,2.4,0,256,276
Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.37,133912,1,1,2.5,0,256,166
HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.63,69110,1,0,1.6,500,0,112
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.21,155928,1,0,1.6,0,256,166
HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.26,133911,1,1,1.6,0,256,166
HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,103760,0,0,1.8,0,512,157
Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,108195,1,0,1.8,1000,256,141
Asus,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.0,53986,0,0,2.0,1000,0,127
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,107015,0,0,1.8,0,256,141
Acer,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.1,45850,1,1,2.4,1000,0,141
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,214556,0,0,2.8,2000,256,141
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,60208,0,0,2.5,0,256,141
